"","state","year","mortality_rate","aar_mortality","incidence_rate","aar_incidence","avg_NO3","avg_SO2","avg_TSO4","avg_TNH4","avg_CA","avg_K","avg_MG","avg_NA","avg_CL","Female"
"1352","Virginia",2006,0.000611645973042959,72.1,0.000745236040103579,85.8,2.02735850340136,6.11499659863946,4.21767619047619,1.32677755102041,0.165055102040816,0.0553034013605442,0.0322802721088435,0.075052380952381,0.0334394557823129,0
"1353","Virginia",2007,0.000596103006178751,69.9,0.00074729807832378,84.6,2.08724675324675,5.32641948051948,4.16687597402597,1.35148376623377,0.159477922077922,0.052912987012987,0.0376363636363636,0.126988961038961,0.0449006493506494,0
"1354","Virginia",2008,0.000588891232777728,68,0.000766547024291503,85.7,1.80024052287582,4.28869738562091,3.31028823529412,1.0764431372549,0.13983137254902,0.0569993421052632,0.0329,0.110675816993464,0.0432071895424837,0
"1355","Virginia",2009,0.000568666696501735,63.2,0.000745619517484636,81,1.28459155844156,2.87770779220779,2.50458181818182,0.855518181818182,0.140791558441558,0.067812987012987,0.0264922077922078,0.0865896103896104,0.0438551948051948,0
"1356","Virginia",2010,0.000567782747428599,62.8,0.000734867294748822,78.8,1.47224105960265,3.16724304635762,2.66913708609272,0.927945695364238,0.175432450331126,0.0640119205298013,0.0341966887417219,0.0765437086092715,0.0382523178807947,0
"1357","Virginia",2011,0.000563078207792449,60.6,0.000691530423945102,72.9,1.46218775510204,2.44350952380952,2.5631306122449,0.908429931972789,0.143889795918367,0.0570884353741497,0.0323265306122449,0.117185034013605,0.0585489795918367,0
"1358","Virginia",2012,0.000553583445616768,58.5,0.000739106019933978,75.8,1.40014333333333,1.940256,2.016604,0.731485333333333,0.143516666666667,0.0521906666666667,0.0302673333333333,0.0936913333333333,0.04798,0
"1359","Virginia",2013,0.000522863893918533,53.6,0.000703807834576809,70.8,1.25498967741935,1.77187290322581,1.95751870967742,0.723838709677419,0.122870967741935,0.0511554838709677,0.0289077419354839,0.112332258064516,0.0620638709677419,0
"1360","Virginia",2014,0.000523123118420589,52.4,0.000706876842430815,69.3,1.25658675496689,1.96286556291391,1.84893708609272,0.675994039735099,0.145405298013245,0.0514253333333333,0.0286788079470199,0.0948781456953642,0.0464470198675497,0
"1361","Virginia",2015,0.000529175766812634,52.2,0.000676965783451164,64.3,1.1668974025974,1.40128246753247,1.46949805194805,0.526286363636364,0.136851298701299,0.0508217105263158,0.0318142857142857,0.113469480519481,0.0687285714285714,0
"1362","Virginia",2016,0.000510893832201585,48.7,0.00071848976496467,66.2,1.09959290322581,1.12509225806452,1.1878535483871,0.456208387096774,0.134784516129032,0.0487212903225806,0.0272703225806452,0.0886851612903226,0.0463593548387097,0
"1363","Virginia",2017,0.000491662975593303,46,0.0006606721234535,60,1.07319477124183,0.795404575163399,1.05094705882353,0.414718954248366,0.14743137254902,0.0509457516339869,0.0295,0.0970993464052288,0.0583078431372549,0
"1364","Virginia",2018,0.000476422580374497,43.6,0.000638975191841963,57,1.0133074829932,0.456250340136054,0.964046258503401,0.393810884353742,0.121686394557823,0.058,0.0270258503401361,0.093056462585034,0.0497734693877551,0
"1365","Washington",1999,0.000466455256923487,46.2,0.00060853841407257,61,0.634933333333333,1.15035578231293,0.827680952380952,0.271094557823129,NA,NA,NA,NA,NA,1
"1366","Washington",2000,0.000484207816468727,47.8,0.000617305998448648,61.3,0.676774834437086,1.22173907284768,0.948187417218543,0.308694701986755,0.0364364238410596,0.0527556291390728,0.0266337748344371,0.193424503311258,NA,1
"1367","Washington",2001,0.000468341949581623,46.1,0.00063356073122635,62.7,0.602431125827815,1.02615033112583,0.895635761589404,0.272641721854305,0.044358940397351,0.0499264900662252,0.0321317880794702,0.236182781456954,NA,1
"1368","Washington",2002,0.000467277101577941,45.4,0.000597021413080202,58.6,0.667353289473684,0.743863157894737,0.799082236842105,0.259098026315789,0.0416875,0.0469526315789474,0.0276927631578947,0.196297368421053,NA,1
"1369","Washington",2003,0.000495802154064648,47.6,0.000640628572751953,62,0.652329139072848,0.711627152317881,0.739186754966887,0.233182781456954,0.0400172185430464,0.0467059602649007,0.0272185430463576,0.188444370860927,0.151013333333333,1
"1370","Washington",2004,0.000457556193016637,43.8,0.000630989939877374,60.6,0.636792481203007,0.720360902255639,0.825691729323308,0.234118796992481,0.0385225563909774,0.0606353383458647,0.0307556390977444,0.21382030075188,0.157348120300752,1
"1371","Washington",2005,0.000470528989036675,44.2,0.000635214135199511,60.2,0.372646296296296,0.253659259259259,0.617941666666667,0.182782407407407,0.0274435185185185,0.0398361111111111,0.0166453703703704,0.097587962962963,0.0568009259259259,1
"1372","Washington",2006,0.00045271417613987,42.4,0.000636736708746069,60.8,0.389213861386139,0.221775247524752,0.621838613861386,0.166292079207921,0.0303188118811881,0.0374920792079208,0.0196554455445545,0.109182178217822,0.0591534653465347,1
"1373","Washington",2007,0.000484019951967486,45,0.000605640741424965,56.6,0.353229702970297,0.172338613861386,0.560809900990099,0.162649504950495,0.023480198019802,0.0396128712871287,0.0159118811881188,0.0954792079207921,0.0630811881188119,1
"1374","Washington",2008,0.000453667326417589,42.2,0.000636470358883043,59.2,0.330910526315789,0.178236842105263,0.568315789473684,0.168565789473684,0.0286157894736842,0.0357526315789474,0.0178736842105263,0.111573684210526,0.0706605263157895,1
"1375","Washington",2009,0.000463826885810665,42,0.000625314002727338,56.5,0.325219607843137,0.160705882352941,0.597013725490196,0.17103137254902,0.0288411764705882,0.0533235294117647,0.0188294117647059,0.121519607843137,0.077078431372549,1
"1376","Washington",2010,0.000440254508472092,39.6,0.000635266572627516,57.1,0.299394,0.181914,0.491356,0.139468,0.028336,0.04624,0.019752,0.127714,0.098814,1
"1377","Washington",2011,0.000421723798948728,37.1,0.000623240018667995,55.1,0.275945098039216,0.145664,0.510262745098039,0.154386274509804,0.0217764705882353,0.037986,0.0164666666666667,0.109349019607843,0.0772529411764706,1
"1378","Washington",2012,0.000439238991699279,38.3,0.000643966579667081,56.2,0.275727450980392,0.127670588235294,0.457305882352941,0.140325490196078,0.0254313725490196,0.0393803921568627,0.0171725490196078,0.111533333333333,0.0962176470588235,1
"1379","Washington",2013,0.00039801491137506,34,0.00060891410127574,52.4,0.27866,0.125813333333333,0.449413333333333,0.129096666666667,0.02492,0.0343566666666667,0.0165366666666667,0.10691,0.0692133333333333,1
"1380","Washington",1999,0.000579847114332025,73,0.000744240305702552,91.8,0.634933333333333,1.15035578231293,0.827680952380952,0.271094557823129,NA,NA,NA,NA,NA,0
"1381","Washington",2000,0.000569529879589966,70.9,0.000693562341433842,85.3,0.676774834437086,1.22173907284768,0.948187417218543,0.308694701986755,0.0364364238410596,0.0527556291390728,0.0266337748344371,0.193424503311258,NA,0
"1382","Washington",2001,0.00055066928270885,68.6,0.000696129093235717,85.1,0.602431125827815,1.02615033112583,0.895635761589404,0.272641721854305,0.044358940397351,0.0499264900662252,0.0321317880794702,0.236182781456954,NA,0
